site;lat;lon;raster_path
BB23;55.2912;15.7503;BB23_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764153454972.nc
BB36;54.9589;15.9981;BB36_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764153552601.nc
BOK;54.5169;10.034;BOK_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764153852495.nc
FIN;59.7766;23.2663;FIN_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764153950689.nc
GB96;56.9165;19.5827;GB96_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154209417.nc
GDY;54.5329;18.5642;GDY_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154286818.nc
H21;54.9433;13.4914;H21_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154423278.nc
IU7;59.489;21.2021;IU7_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154516048.nc
KB03;54.6884;10.1533;KB03_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154573593.nc
LL17;59.02;21.0478;LL17_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154759107.nc
SK;54.0929;8.9487;SK_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764154824267.nc
SW08;54.408;11.6161;SW08_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764155028999.nc
WH;53.513;8.149;WH_cmems_mod_glo_phy_my_0.083deg_P1D-m_1764155112296.nc
