fst,BB36_22,BOK_23,FIN_18,GB96_22,GDY_23,H21_23,KB03_22,SK_22,SW08_22,SW08_23,WH_22
BB36_22,0,0.00814637,0.0102654,0.0102355,0.00658464,0.00669373,0.0106339,0.0235265,0.00930826,0.00667368,0.0547653
BOK_23,0.00814637,0,0.00996536,0.00971975,0.00694598,0.0072992,0.0108855,0.0217835,0.0100441,0.00727905,0.0526304
FIN_18,0.0102654,0.00996536,0,0.00657094,0.00898068,0.00910578,0.0125119,0.0198643,0.0119713,0.00907017,0.0509598
GB96_22,0.0102355,0.00971975,0.00657094,0,0.00818457,0.0089041,0.0120563,0.0184457,0.0117059,0.00903709,0.0494394
GDY_23,0.00658464,0.00694598,0.00898068,0.00818457,0,0.00599802,0.0102444,0.0213633,0.00880681,0.00586384,0.0519027
H21_23,0.00669373,0.0072992,0.00910578,0.0089041,0.00599802,0,0.00990683,0.022314,0.00880243,0.00575082,0.0530775
KB03_22,0.0106339,0.0108855,0.0125119,0.0120563,0.0102444,0.00990683,0,0.0257785,0.0127691,0.00982928,0.0568405
SK_22,0.0235265,0.0217835,0.0198643,0.0184457,0.0213633,0.022314,0.0257785,0,0.0249092,0.0221299,0.041137
SW08_22,0.00930826,0.0100441,0.0119713,0.0117059,0.00880681,0.00880243,0.0127691,0.0249092,0,0.00871908,0.0563599
SW08_23,0.00667368,0.00727905,0.00907017,0.00903709,0.00586384,0.00575082,0.00982928,0.0221299,0.00871908,0,0.0531021
WH_22,0.0547653,0.0526304,0.0509598,0.0494394,0.0519027,0.0530775,0.0568405,0.041137,0.0563599,0.0531021,0
