Station;Replicate;Salinity;Oxygen;Individuals;Month;Notes;Script
WH;1;5;0.1226843;2;7;;run3-05PSU.R
WH;2;5;0.1776295;2;7;;run3-05PSU.R
WH;3;5;0.07705937;2;7;;run3-05PSU.R
WH;4;5;0.1076086;2;7;;run3-05PSU.R
WH;5;5;0.1099683;2;7;;run3-05PSU.R
WH;6;5;0.194703;2;7;;run3-05PSU.R
WH;7;5;0.08603134;2;7;;run3-05PSU.R
WH;8;5;0.1167539;2;7;;run3-05PSU.R
SW08;1;5;0.1898781;2;7;;run3-05PSU.R
SW08;2;5;0.1589882;2;7;;run3-05PSU.R
SW08;3;5;0.2137649;2;7;;run3-05PSU.R
SW08;4;5;0.1786183;2;7;;run3-05PSU.R
SW08;5;5;0.3332612;2;7;;run3-05PSU.R
SW08;6;5;0.3876785;2;7;;run3-05PSU.R
SW08;7;5;0.2444537;2;7;;run3-05PSU.R
SW08;8;5;0.1932291;2;7;;run3-05PSU.R
WH;1;15;0.07608394;2;7;;run4-15PSU.R
WH;2;15;0.1050873;2;7;;run4-15PSU.R
WH;3;15;0.153978;2;7;;run4-15PSU.R
WH;4;15;0.1389973;2;7;;run4-15PSU.R
WH;5;15;0.09709927;2;7;;run4-15PSU.R
WH;6;15;0.1235101;2;7;;run4-15PSU.R
WH;7;15;0.07190299;2;7;;run4-15PSU.R
WH;8;15;0.115296;2;7;;run4-15PSU.R
SW08;1;15;0.2430458;2;7;;run4-15PSU.R
SW08;2;15;0.2469392;2;7;;run4-15PSU.R
SW08;3;15;0.2216361;2;7;;run4-15PSU.R
SW08;4;15;0.3215376;2;7;;run4-15PSU.R
SW08;5;15;0.2710255;2;7;;run4-15PSU.R
SW08;6;15;0.2816906;2;7;;run4-15PSU.R
SW08;7;15;0.1601533;2;7;;run4-15PSU.R
SW08;8;15;0.2069379;2;7;;run4-15PSU.R
BB23;1;5;0.05920751;2;6;;run1-05PSU.R
BB23;2;5;0.1248523;2;6;;run1-05PSU.R
BB23;3;5;0.1605778;2;6;;run1-05PSU.R
BB23;4;5;0.1189904;2;6;;run1-05PSU.R
BB23;5;5;0.1373169;2;6;;run1-05PSU.R
BB23;6;5;0.1918444;2;6;;run1-05PSU.R
BB23;7;5;0.1204075;2;6;;run1-05PSU.R
KB03;1;5;0.1287099;2;6;;run1-05PSU.R
KB03;2;5;0.05420151;2;6;;run1-05PSU.R
KB03;3;5;0.1080997;2;6;;run1-05PSU.R
KB03;4;5;0.04566275;1;6;;run1-05PSU.R
KB03;5;5;0.1535444;2;6;;run1-05PSU.R
KB03;6;5;0.1158975;2;6;;run1-05PSU.R
KB03;7;5;0.1008429;2;6;;run1-05PSU.R
KB03;8;5;0.1686455;2;6;;run1-05PSU.R
BB23;1;15;0.2787586;2;6;;run2-15PSU.R
BB23;2;15;0.1919726;2;6;;run2-15PSU.R
BB23;3;15;0.1074484;1;6;;run2-15PSU.R
BB23;4;15;0.2358434;2;6;;run2-15PSU.R
BB23;5;15;0.3745437;2;6;;run2-15PSU.R
BB23;6;15;0.2423546;2;6;;run2-15PSU.R
BB23;7;15;0.1649045;2;6;;run2-15PSU.R
BB23;8;15;0.1738185;2;6;;run2-15PSU.R
