Station;Culture_start;Assay_start;Treatment_sal;Replicate;Time;Active
SK;2022-08-21;2023-03-31;0.1;1;2;1
SK;2022-08-21;2023-03-31;0.1;1;2;0
SK;2022-08-21;2023-03-31;0.1;1;2;0
SK;2022-08-21;2023-03-31;0.1;1;2;0
SK;2022-08-21;2023-03-31;0.1;1;2;0
SK;2022-08-21;2023-03-31;0.1;2;2;0
SK;2022-08-21;2023-03-31;0.1;2;2;0
SK;2022-08-21;2023-03-31;0.1;2;2;0
SK;2022-08-21;2023-03-31;0.1;2;2;0
SK;2022-08-21;2023-03-31;0.1;2;2;0
SK;2022-08-21;2023-03-31;0.1;3;2;0
SK;2022-08-21;2023-03-31;0.1;3;2;0
SK;2022-08-21;2023-03-31;0.1;3;2;0
SK;2022-08-21;2023-03-31;0.1;3;2;0
SK;2022-08-21;2023-03-31;1;1;2;1
SK;2022-08-21;2023-03-31;1;1;2;0
SK;2022-08-21;2023-03-31;1;1;2;0
SK;2022-08-21;2023-03-31;1;1;2;0
SK;2022-08-21;2023-03-31;1;1;2;0
SK;2022-08-21;2023-03-31;1;2;2;1
SK;2022-08-21;2023-03-31;1;2;2;0
SK;2022-08-21;2023-03-31;1;2;2;0
SK;2022-08-21;2023-03-31;1;2;2;0
SK;2022-08-21;2023-03-31;1;3;2;1
SK;2022-08-21;2023-03-31;1;3;2;0
SK;2022-08-21;2023-03-31;1;3;2;0
SK;2022-08-21;2023-03-31;1;3;2;0
SK;2022-08-21;2023-03-31;2;1;2;1
SK;2022-08-21;2023-03-31;2;1;2;1
SK;2022-08-21;2023-03-31;2;1;2;1
SK;2022-08-21;2023-03-31;2;1;2;1
SK;2022-08-21;2023-03-31;2;2;2;1
SK;2022-08-21;2023-03-31;2;2;2;1
SK;2022-08-21;2023-03-31;2;2;2;1
SK;2022-08-21;2023-03-31;2;2;2;1
SK;2022-08-21;2023-03-31;2;2;2;0
SK;2022-08-21;2023-03-31;2;3;2;1
SK;2022-08-21;2023-03-31;2;3;2;1
SK;2022-08-21;2023-03-31;2;3;2;1
SK;2022-08-21;2023-03-31;2;3;2;1
SK;2022-08-21;2023-03-31;2;3;2;1
SK;2022-08-21;2023-03-31;3;1;2;1
SK;2022-08-21;2023-03-31;3;1;2;1
SK;2022-08-21;2023-03-31;3;1;2;1
SK;2022-08-21;2023-03-31;3;1;2;1
SK;2022-08-21;2023-03-31;3;1;2;1
SK;2022-08-21;2023-03-31;3;2;2;1
SK;2022-08-21;2023-03-31;3;2;2;1
SK;2022-08-21;2023-03-31;3;2;2;1
SK;2022-08-21;2023-03-31;3;2;2;1
SK;2022-08-21;2023-03-31;3;2;2;1
SK;2022-08-21;2023-03-31;3;3;2;1
SK;2022-08-21;2023-03-31;3;3;2;1
SK;2022-08-21;2023-03-31;3;3;2;1
SK;2022-08-21;2023-03-31;3;3;2;1
SK;2022-08-21;2023-03-31;3;3;2;0
SK;2022-08-21;2023-03-31;5;1;2;1
