Station;Replicate;Salinity;Oxygen;Individuals;Month
WH;1;5;0.1226843;2;7
WH;2;5;0.1776295;2;7
WH;3;5;0.07705937;2;7
WH;4;5;0.1076086;2;7
WH;5;5;0.1099683;2;7
WH;6;5;0.194703;2;7
WH;7;5;0.08603134;2;7
WH;8;5;0.1167539;2;7
SW08;1;5;0.1898781;2;7
SW08;2;5;0.0971529;2;7
SW08;3;5;0.1306253;2;7
SW08;4;5;0.1786183;2;7
SW08;5;5;0.3332612;2;7
SW08;6;5;0.3876785;2;7
SW08;7;5;0.2444537;2;7
SW08;8;5;0.1932291;2;7
WH;1;15;0.07608394;2;7
WH;2;15;0.1050873;2;7
WH;3;15;0.153978;2;7
WH;4;15;0.1389973;2;7
WH;5;15;0.09709927;2;7
WH;6;15;0.1235101;2;7
WH;7;15;0.07190299;2;7
WH;8;15;0.115296;2;7
SW08;1;15;0.2430458;2;7
SW08;2;15;0.2469392;2;7
SW08;3;15;0.2216361;2;7
SW08;4;15;0.3215376;2;7
SW08;5;15;0.2710255;2;7
SW08;6;15;0.2816906;2;7
SW08;7;15;0.1601533;2;7
SW08;8;15;0.2069379;2;7
BB23;1;5;0.05920751;2;6
BB23;2;5;0.1248523;2;6
BB23;3;5;0.1605778;2;6
BB23;4;5;0.1189904;2;6
BB23;5;5;0.1373169;2;6
BB23;6;5;0.1918444;2;6
BB23;7;5;0.1204075;2;6
KB03;1;5;0.1287099;2;6
KB03;2;5;0.05420151;2;6
KB03;3;5;0.1080997;2;6
KB03;5;5;0.1535444;2;6
KB03;6;5;0.1158975;2;6
KB03;7;5;0.1008429;2;6
KB03;8;5;0.1686455;2;6
BB23;1;15;0.2787586;2;6
BB23;2;15;0.1919726;2;6
BB23;3;15;0.1074484;1;6
BB23;4;15;0.2358434;2;6
BB23;5;15;0.3745437;2;6
BB23;6;15;0.2423546;2;6
BB23;7;15;0.1071055;2;6
BB23;8;15;0.1128952;2;6
KB03;1;15;0.1166232;2;6
KB03;2;15;0.1248188;2;6
KB03;3;15;0.2450774;2;6
KB03;4;15;0.2748395;2;6
KB03;5;15;0.1843876;2;6
KB03;6;15;0.2792164;2;6
KB03;7;15;0.1861016;2;6
KB03;8;15;0.1812388;2;6
IU7;1;15;0.1660242;2;7
IU7;2;15;0.175332;2;7
IU7;3;15;0.311689;2;7
IU7;4;15;0.1159358;2;7
IU7;5;15;0.1592492;2;7
IU7;6;15;0.09258565;1;7
IU7;7;15;0.141642;2;7
IU7;8;15;0.1351776;2;7
IU7;9;15;0.3050126;2;7
IU7;10;15;0.1713767;2;7
IU7;1;5;0.1186714;2;7
IU7;2;5;0.09242766;2;7
IU7;3;5;0.110514;2;7
IU7;4;5;0.1318089;2;7
IU7;5;5;0.1418479;2;7
IU7;6;5;0.2640396;2;7
IU7;7;5;0.1886462;2;7
IU7;8;5;0.1574415;2;7
IU7;9;5;0.2179867;2;7
IU7;10;5;0.1195948;2;7
SK;1;5;0.1375796;2;9
SK;2;5;0.1207243;2;9
SK;3;5;0.1734846;2;9
SK;4;5;0.1295584;2;9
SK;5;5;0.185549;2;9
SK;6;5;0.2180217;2;9
SK;7;5;0.1226568;2;9
SK;8;5;0.07856706;2;9
LL17;1;5;0.1244553;2;9
LL17;2;5;0.160758;2;9
LL17;3;5;0.1153221;2;9
LL17;4;5;0.15258;2;9
LL17;5;5;0.1808574;2;9
LL17;6;5;0.1935419;2;9
LL17;7;5;0.08519219;2;9
LL17;8;5;0.1467019;2;9
SK;1;15;0.1294387;2;9
SK;2;15;0.1135808;2;9
SK;3;15;0.1632192;2;9
SK;4;15;0.1218921;2;9
SK;5;15;0.1745697;2;9
SK;6;15;0.2051209;2;9
SK;7;15;0.1153989;2;9
SK;8;15;0.07391809;2;9
LL17;1;15;0.117091;2;9
LL17;2;15;0.1512456;2;9
LL17;3;15;0.1084982;2;9
LL17;4;15;0.1435515;2;9
LL17;5;15;0.1701557;2;9
LL17;6;15;0.1820097;2;9
LL17;7;15;0.081512;2;9
LL17;8;15;0.1380213;2;9
BOK;1;15;0.220565;2;9
BOK;2;15;0.1588156;2;9
BOK;3;15;0.2360458;2;9
BOK;4;15;0.251137;2;9
BOK;5;15;0.2639309;2;9
BOK;6;15;0.2771821;2;9
BOK;7;15;0.3154155;2;9
BOK;8;15;0.2185476;2;9
GDY;1;15;0.250496;2;9
GDY;2;15;0.3405317;2;9
GDY;3;15;0.3721715;2;9
GDY;7;15;0.5470369;2;9
GDY;8;15;0.1615279;2;9
BOK;1;5;0.09276378;2;9
BOK;2;5;0.2885543;2;9
BOK;3;5;0.250084;2;9
BOK;4;5;0.2306912;2;9
BOK;5;5;0.0588893;2;9
BOK;6;5;0.2196162;2;9
BOK;7;5;0.2173522;2;9
BOK;8;5;0.2147213;2;9
GDY;1;5;0.1872977;2;9
GDY;2;5;0.282995;2;9
GDY;3;5;0.3166244;2;9
GDY;4;5;0.5595935;2;9
GDY;5;5;0.6248531;2;9
GDY;7;5;0.5024857;2;9
GDY;8;5;0.09273507;1;9
H21;1;5;0.1179286;2;10
H21;2;5;0.1078936;2;10
H21;3;5;0.0724514;2;10
H21;4;5;0.1098999;2;10
H21;5;5;0.1156175;2;10
H21;6;5;0.1544057;2;10
H21;7;5;0.1539629;2;10
H21;8;5;0.06986465;2;10
GDY;1;5;0.2389518;2;10
GDY;2;5;0.1522316;2;10
GDY;3;5;0.235865;2;10
GDY;4;5;0.2125686;2;10
GDY;5;5;0.2843242;2;10
GDY;6;5;0.3108922;2;10
GDY;7;5;0.1470608;2;10
GDY;8;5;0.2040533;2;10
H21;1;15;0.07061077;2;10
H21;2;15;0.04424075;2;10
H21;3;15;0.06924478;2;10
H21;4;15;0.1672491;2;10
H21;5;15;0.153418;2;10
H21;6;15;0.1910284;2;10
H21;7;15;0.1392142;2;10
H21;8;15;0.08361141;2;10
GDY;1;15;0.1616023;2;10
GDY;2;15;0.2218642;2;10
GDY;3;15;0.2560509;2;10
GDY;4;15;0.2156959;2;10
GDY;5;15;0.3453011;2;10
GDY;6;15;0.3868975;2;10
GDY;7;15;0.218865;2;10
GDY;8;15;0.2181542;2;10
